configuration,pop_mut,scenario,mutation_rate,population_size,replicate_seed,cell,type,value_leading,value_overall,fraction_leading_ben_del_neu,fraction_overall_ben_del_neu,fraction_leading_ben_del_neu_no,fraction_overall_ben_del_neu_no
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10024,A,beneficial,7,7,1.0,1.0,0.0014,0.0014
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10024,A,deleterious,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10024,A,neutral,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10024,A,no_mutation,4993,4993,0,1.0,0,0.9986
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10024,B,beneficial,7,7,1.0,1.0,0.0014,0.0014
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10024,B,deleterious,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10024,B,neutral,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10024,B,no_mutation,4993,4993,0,1.0,0,0.9986
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10025,A,beneficial,3,3,1.0,1.0,0.0006,0.0006
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10025,A,deleterious,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10025,A,neutral,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10025,A,no_mutation,4997,4997,0,1.0,0,0.9994
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10025,B,beneficial,3,3,1.0,1.0,0.0006,0.0006
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10025,B,deleterious,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10025,B,neutral,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10025,B,no_mutation,4997,4997,0,1.0,0,0.9994
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10026,A,beneficial,5,5,1.0,1.0,0.001,0.001
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10026,A,deleterious,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10026,A,neutral,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10026,A,no_mutation,4995,4995,0,1.0,0,0.999
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10026,B,beneficial,5,6,1.0,1.0,0.001,0.0012
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10026,B,deleterious,0,0,0.0,0.0,0.0,0.0
