configuration,pop_mut,scenario,mutation_rate,population_size,replicate_seed,cell,value_leading_ben_del_neu,value_leading_ben_del_neu_no,value_overall_ben_del_neu,value_overall_ben_del_neu_no
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10505,A,99,5000,109,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10505,B,95,5000,104,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10506,A,99,5000,102,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10506,B,99,5000,106,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10507,A,98,5000,103,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10507,B,100,5000,116,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10508,A,95,5000,115,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10508,B,98,5000,112,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10509,A,96,5000,110,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10509,B,98,5000,111,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10510,A,95,5000,105,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10510,B,98,5000,108,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10511,A,97,5000,105,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10511,B,100,5000,122,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10512,A,96,5000,109,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10512,B,97,5000,112,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10513,A,97,5000,109,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10513,B,98,5000,117,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10514,A,97,5000,110,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10514,B,95,5000,109,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10515,A,95,5000,107,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10515,B,95,5000,110,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10516,A,99,5000,110,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10516,B,94,5000,114,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10517,A,95,5000,110,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10517,B,96,5000,121,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10518,A,100,5000,107,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10518,B,93,5000,107,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10519,A,96,5000,108,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10519,B,98,5000,104,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10520,A,98,5000,103,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10520,B,99,5000,113,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10521,A,97,5000,101,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10521,B,97,5000,103,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10522,A,97,5000,112,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10522,B,95,5000,110,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10523,A,96,5000,108,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10523,B,97,5000,115,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10524,A,95,5000,106,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10524,B,96,5000,105,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10525,A,97,5000,106,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10525,B,96,5000,117,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10526,A,96,5000,101,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10526,B,100,5000,120,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10527,A,95,5000,109,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10527,B,98,5000,104,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10528,A,97,5000,104,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10528,B,99,5000,116,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10529,A,97,5000,105,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10529,B,96,5000,109,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10530,A,95,5000,104,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10530,B,92,5000,110,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10531,A,99,5000,107,5000
CONFIG_1,"1000, 0.001, 0.001",bFollowsA,0.001,1000,10531,B,96,5000,111,5000
